chr,geneID,Mbp,cM,predLoess,cMLeft,cMRight,MbpLeft,MbpRight,meancM,meanMbp,recombRate
Chr_01,MgIM767.01G000100,0.0153485,-0.3615912171504,-0.254778158495057,0.0358677536369506,,0.013419,,0.0358677536369506,0.013419,2.67290808830394
Chr_01,MgIM767.01G000200,0.0287675,-0.294621518170659,-0.218910404858107,0.063981863911015,0.0358677536369506,0.0231055,0.013419,0.0499248087739828,0.01826225,2.73377096327029
Chr_01,MgIM767.01G000300,0.051873,-0.179309767684304,-0.154928540947092,0.0214152632140357,0.063981863911015,0.007518,0.0231055,0.0426985635625253,0.01531175,2.7886142055954
Chr_01,MgIM767.01G000400,0.059391,-0.141789967629926,-0.133513277733056,0.0181685149680846,0.0214152632140357,0.0063,0.007518,0.0197918890910602,0.006909,2.86465321914317
Chr_01,MgIM767.01G000500,0.065691,-0.110348794400001,-0.115344762764971,0.00776382255096104,0.0181685149680846,0.00267100000000001,0.0063,0.0129661687595228,0.0044855,2.89068526575027
Chr_01,MgIM767.01G000600,0.068362,-0.097018735082996,-0.10758094021401,0.00631223942066324,0.00776382255096104,0.0021625,0.00267100000000001,0.00703803098581214,0.00241675,2.91218826349938
Chr_01,MgIM767.01G000700,0.0705245,-0.0862264276052638,-0.101268700793347,0.0277417894296936,0.00631223942066324,0.00941,0.0021625,0.0170270144251784,0.00578625,2.94266829555902
Chr_01,MgIM767.01G000800,0.0799345,-0.0392642942570738,-0.0735269113636537,0.0293969734442718,0.0277417894296936,0.0098115,0.00941,0.0285693814369827,0.00961075,2.97264848601646
Chr_01,MgIM767.01G000900,0.089746,0.0097015900517218,-0.0441299379193818,0.00623126509181451,0.0293969734442718,0.00205949999999999,0.0098115,0.0178141192680432,0.0059355,3.00128367754076
Chr_01,MgIM767.01G001000,0.0918055,0.0199798593004569,-0.0378986728275673,0.0127953085956668,0.00623126509181451,0.0042075,0.00205949999999999,0.00951328684374067,0.0031335,3.0359938866254
